Lið,Nafn,Lið,Leikir,Mörk,%,xG,+/-,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,G/A,Frk,Stl,Blk,Stp,Gul,2m,Rau
Afturelding,Kristján Ottó Hjálmsson,umfa,25,3.3,71.6,3.49,-0.17,0.0,100.0,0.5,0.0,0.0,0,0.0,0.8,0.05,0.10,3.3,0.2,0.0,0.0,0.8,0.0,0.4,0.0
Haukar,Jón Karl Einarsson,haukar,5,0.6,60.0,0.60,0.00,0.2,50.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0
HK,Sigurður Jefferson Guarino,hk,24,4.6,76.6,4.60,+0.03,0.0,0,1.0,0.2,0.4,50.0,0.0,0.5,0.31,0.62,4.8,0.5,0.3,0.1,4.7,0.1,0.3,0.0
HK,Styrmir Máni Arnarsson,hk,23,0.0,50.0,0.07,-0.02,0.0,0,0.0,0.1,0.1,100.0,0.0,0.0,0,0,0.1,0.1,0.7,0.7,4.3,0.1,0.9,0.1
Stjarnan,Daníel Karl Gunnarsson,stjarnan,19,2.2,71.9,2.16,0.00,0.0,0,0.4,0.3,0.3,100.0,0.0,0.1,5.00,5.00,2.5,0.3,0.5,0.1,0.4,0.1,0.2,0.0
Stjarnan,Gauti Gunnarsson,stjarnan,16,3.1,63.6,3.43,-0.37,0.4,46.2,0.3,0.4,0.4,100.0,0.1,0.9,0.47,0.47,3.5,0.4,0.3,0.0,0.3,0.1,0.1,0.0
Valur,Kristófer Máni Jónasson,valur,33,2.0,64.4,1.92,+0.05,0.5,80.0,0.2,0.4,0.6,70.6,0.0,0.3,1.20,1.70,2.4,0.2,0.3,0.0,0.4,0.1,0.2,0.0
Stjarnan,Jóel Bernburg,stjarnan,21,2.6,75.0,2.39,+0.18,0.0,0,0.4,0.0,0.0,0,0.0,1.0,0.05,0.10,2.6,0.1,0.1,0.0,0.9,0.0,0.3,0.0
Selfoss,Sölvi Svavarsson,selfoss,19,2.7,58.4,2.51,+0.22,0.0,0,0.3,3.5,5.6,62.3,0.2,2.2,1.57,2.52,6.2,0.3,0.5,0.1,1.4,0.1,0.2,0.0
Selfoss,Elvar Elí Hallgrímsson,selfoss,21,1.6,78.6,1.64,-0.06,0.0,0,0.3,0.1,0.3,42.9,0.0,0.3,0.50,1.17,1.7,0.3,0.0,0.4,2.9,0.0,0.6,0.0
